Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,2009-12-01 09:08:00,2.1,15362,United Kingdom
489437,22145,CHRISTMAS CRAFT HEART STOCKING ,6,2009-12-01 09:08:00,2.1,15362,United Kingdom
489437,22130,PARTY CONE CHRISTMAS DECORATION ,12,2009-12-01 09:08:00,0.85,15362,United Kingdom
489437,21364,PEACE SMALL WOOD LETTERS,2,2009-12-01 09:08:00,6.75,15362,United Kingdom
489437,21360,JOY LARGE WOOD LETTERS,1,2009-12-01 09:08:00,9.95,15362,United Kingdom
489437,21351,CINAMMON & ORANGE WREATH,2,2009-12-01 09:08:00,6.75,15362,United Kingdom
489437,21352,EUCALYPTUS & PINECONE  WREATH,2,2009-12-01 09:08:00,6.75,15362,United Kingdom
489437,35400,WOODEN BOX ADVENT CALENDAR ,2,2009-12-01 09:08:00,8.95,15362,United Kingdom
489437,20695,FLORAL BLUE MONSTER,3,2009-12-01 09:08:00,4.25,15362,United Kingdom
489437,37370,RETRO COFFEE MUGS ASSORTED,12,2009-12-01 09:08:00,1.25,15362,United Kingdom
489437,10002,INFLATABLE POLITICAL GLOBE ,12,2009-12-01 09:08:00,0.85,15362,United Kingdom
489437,84507B,STRIPES DESIGN MONKEY DOLL,6,2009-12-01 09:08:00,2.55,15362,United Kingdom
489437,20703,BLUE PADDED SOFT MOBILE,3,2009-12-01 09:08:00,4.25,15362,United Kingdom
489437,21987,PACK OF 6 SKULL PAPER CUPS,12,2009-12-01 09:08:00,0.65,15362,United Kingdom
489437,21989,PACK OF 20 SKULL PAPER NAPKINS,12,2009-12-01 09:08:00,0.85,15362,United Kingdom
489437,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2009-12-01 09:08:00,0.85,15362,United Kingdom
489437,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2009-12-01 09:08:00,1.25,15362,United Kingdom
489437,22271,FELTCRAFT DOLL ROSIE,6,2009-12-01 09:08:00,2.95,15362,United Kingdom
489437,22272,FELTCRAFT DOLL MARIA,6,2009-12-01 09:08:00,2.95,15362,United Kingdom
489437,22274,FELTCRAFT DOLL EMILY,6,2009-12-01 09:08:00,2.95,15362,United Kingdom
489436,48173C,DOOR MAT BLACK FLOCK ,10,2009-12-01 09:06:00,5.95,13078,United Kingdom
489436,21755,LOVE BUILDING BLOCK WORD,18,2009-12-01 09:06:00,5.45,13078,United Kingdom
489436,21754,HOME BUILDING BLOCK WORD,3,2009-12-01 09:06:00,5.95,13078,United Kingdom
489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2009-12-01 09:06:00,1.69,13078,United Kingdom
489436,22119, PEACE WOODEN BLOCK LETTERS,3,2009-12-01 09:06:00,6.95,13078,United Kingdom
489436,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,2009-12-01 09:06:00,1.45,13078,United Kingdom
489436,22296,HEART IVORY TRELLIS LARGE,12,2009-12-01 09:06:00,1.65,13078,United Kingdom
489436,22295,HEART FILIGREE DOVE LARGE,12,2009-12-01 09:06:00,1.65,13078,United Kingdom
489436,22109,FULL ENGLISH BREAKFAST PLATE,16,2009-12-01 09:06:00,3.39,13078,United Kingdom
489436,22107,PIZZA PLATE IN BOX,4,2009-12-01 09:06:00,3.75,13078,United Kingdom
489436,22194,BLACK DINER WALL CLOCK,2,2009-12-01 09:06:00,8.5,13078,United Kingdom
489436,35004B,SET OF 3 BLACK FLYING DUCKS,12,2009-12-01 09:06:00,4.65,13078,United Kingdom
489436,82582,AREA PATROLLED METAL SIGN,12,2009-12-01 09:06:00,2.1,13078,United Kingdom
489436,21181,PLEASE ONE PERSON  METAL SIGN,12,2009-12-01 09:06:00,2.1,13078,United Kingdom
489436,21756,BATH BUILDING BLOCK WORD,3,2009-12-01 09:06:00,5.95,13078,United Kingdom
489436,21333,CLASSIC WHITE FRAME,6,2009-12-01 09:06:00,2.95,13078,United Kingdom
489436,84596F,SMALL MARSHMALLOWS PINK BOWL,8,2009-12-01 09:06:00,1.25,13078,United Kingdom
489436,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8,2009-12-01 09:06:00,1.25,13078,United Kingdom
489436,22111,SCOTTIE DOG HOT WATER BOTTLE,24,2009-12-01 09:06:00,4.25,13078,United Kingdom
490925,21463,MIRRORED DISCO BALL ,16,2009-12-08 13:28:00,4.95,13078,United Kingdom
490925,21464,DISCO BALL ROTATOR BATTERY OPERATED,6,2009-12-08 13:28:00,4.25,13078,United Kingdom
490925,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-08 13:28:00,5.95,13078,United Kingdom
C489449,22087,PAPER BUNTING WHITE LACE,-12,2009-12-01 10:33:00,2.95,16321,Australia
C489449,85206A,CREAM FELT EASTER EGG BASKET,-6,2009-12-01 10:33:00,1.65,16321,Australia
489464,21733,85123a mixed,-96,2009-12-01 10:52:00,0.0,,United Kingdom
489463,71477,short,-240,2009-12-01 10:52:00,0.0,,United Kingdom
489825,22076,6 RIBBONS EMPIRE  ,12,2009-12-02 13:34:00,0.0,16126,United Kingdom
489998,48185,DOOR MAT FAIRY CAKE,2,2009-12-03 11:19:00,0.0,15658,United Kingdom
